id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
32804,9,17,0,1315,"Herr Kollege, bevor Sie Ihre Vorbedingungen nennen: Möchten Sie eine Zwischenfrage von Frau Daðdelen zulassen?",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32806,9,17,0,1317,Bitte schön.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32813,9,17,0,1324,Swen Schulz hat das Wort für die SPD-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32815,9,17,0,1326,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32829,9,17,0,1340,Serkan Tören spricht jetzt für die FDP-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32831,9,17,0,1342,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32843,9,17,0,1354,"Damit schließe ich die Aussprache.

Interfraktionell wird Überweisung der Vorlagen auf den Drucksachen 17/123, 17/117 und 17/108 an die in der Tagesordnung aufgeführten Ausschüsse vorgeschlagen. Damit sind Sie einverstanden? - Dann ist das so beschlossen.

Ich rufe den Tagesordnungspunkt 8 auf:

Beratung des Antrags der Fraktion der SPD

Die EU-Perspektive der südosteuropäischen Staaten Albanien, Bosnien und Herzegowina, Kosovo, Makedonien, Montenegro und Serbien verstärken

- Drucksache 17/106 -

Hier ist verabredet, eine halbe Stunde zu debattieren. Dazu sehe ich keinen Widerspruch. - Dann ist das so beschlossen.

Ich eröffne die Aussprache. Das Wort hat der Kollege Dietmar Nietan für die SPD-Fraktion.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32854,9,17,0,1365,Peter Beyer hat das Wort für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32856,9,17,0,1367,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32869,9,17,0,1380,"Herr Kollege, das war Ihre erste Rede in diesem Haus, zu der wir Ihnen gratulieren. Wir wünschen Ihnen viel Erfolg für Ihre weitere Arbeit hier.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32871,9,17,0,1382,Der Kollege Dr. Diether Dehm spricht jetzt für die Fraktion Die Linke.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
32873,9,17,0,1384,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17009.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
